nome;unidade;
WASABI EM PO KG;KG;
ARROZ AROMATICO JASMINE KG;KG;
TRIGUILHO ESCURO KG;KG;
CARDAMOMO INTEIRO VERDE KG;KG;
CHOC GOTAS 70% CALLEBAUT KG;KG;
FLOCOS DE ARROZ CONCHINHA KG;KG;
PAPRICA PICANTE DEFUMADA KG;KG;
KIT DIA DOS PAIS KG;KG;
LEITE DE COCO EM PO VEGANO KG;KG;
PIMEN JAMAICA EM PO KG;KG;
MATCHA POWER KG;KG;
PROVOLONE KG;KG;
MOSTARDA ESCURA EM GRAO KG;KG;
ALHO PORO FLOCOS KG;KG;
BANANA CHIPS COM ACUCAR KG;KG;
NIBS DE CACAU KG;KG;
COENTRO FOLHAS DESID KG;KG;
CEREAL CHOCO BOLL KG;KG;
LIMAO NATURAL KG;KG;
VINAGRETE KG;KG;
ENDRO SEMENTE KG;KG;
ARROZ CATETO MISTO KG;KG;
CEBOLA GRANULADA DESIDRATADA KG;KG;
CEREAL ALL BRAN KG;KG;
ALFARROBA KG;KG;
SNACK PARMESAO KG;KG;
SOPA DE MANDIOQUINHA KG;KG;
SOPA CREME DE CEBOLA KG;KG;
SOPA CREME DE MILHO KG;KG;
CRANBERRY INTEIRO KG;KG;
CHA MATE TOSTADO KG;KG;
ACAI EM PO KG;KG;
CHOCOBOOL COBERTO DE CHOCOLATE KG;KG;
CRISPE DE ARROZ KG;KG;
MANJERICAO FOLHA KG;KG;
BANANA CHIPS NATURAL KG;KG;
COUSCOUS SEMOLINA TIPIAK MEDIO KG;KG;
CONFEITOS DE DAMASCO CHOCOLATE KG;KG;
BARRINHA CHOC DIET S/LACT S/ACUC KG;KG;
POLEM DA ABELHA KG;KG;
CANELA JAVA CASCA KG;KG;
FEIJAO ROXINHO KG;KG;
FAVA BRANCA GRAUDA KG;KG;
PAPRICA PICANTE KG;KG;
CHA VERDE IMPORTADO KG;KG;
JASMIM KG;KG;
GERMEM DE TRIGO TOSTADO KG;KG;
GELATINA PURA EM PO KG;KG;
CHA PRETO KG;KG;
TOMILHO FOLHAS DESID KG;KG;
SOPA CREME DE ALHO PORO KG;KG;
SUCRILHOS ACUCARADOS KG;KG;
BANANA PASSA KG;KG;
SOPA DE FRANGO C/MACARRAO KG;KG;
SOPA CREME DE GALINHA KG;KG;
ARROZ MOTI KG;KG;
CHA VERDE GRANEL KG;KG;
BATATA CHIPS KG;KG;
PO PARA MANJAR KG;KG;
MOSTARDA ESCURA EM PO KG;KG;
SOPA CREME DE CARNE KG;KG;
SOPA CREME DE TOMATE KG;KG;
PAO DE HAMBURGUER KG;KG;
ARROZ P/ RISOTO 1KG LA PASTINA;UN;
SEMENTE DE URUCUM KG;KG;
LECITINA DE SOJA LIQUIDA 1KG;UN;
SUCRALOSE LINEA KG;KG;
COLORAU PENINA KG;KG;
CALDO DE GALINHA KG;KG;
CALDO PEIXE KG;KG;
PAPRICA DOCE DEFUMADA KG;KG;
PAPRICA DOCE EM PO KG;KG;
GRAO DE BICO MOSTARDA E MEL KG;KG;
GERGELIM C/ PELE KG;KG;
CANJICA AMARELA KG;KG;
PALITO CHOCOLATE KG;KG;
CONFEITOS DE UVA PASSA CHOCOLATE KG;KG;
CAPIM CIDRAO KG;KG;
FEIJAO ROSINHA KG;KG;
UXI AMARELO KG;KG;
QUEBRA PEDRA KG;KG;
MUTAMBA KG;KG;
GUACO KG;KG;
GINKOBILOBA FOLHA KG;KG;
GARCINIA KG;KG;
ENXOFRE KG;KG;
CHA VERMELHO KG;KG;
CAPIM ROSARIO KG;KG;
BANCHA FOLHAS KG;KG;
MENTA PIRERETA KG;KG;
JAMBOLAO KG;KG;
ALCAPARRA CAPOTE KG;KG;
PALMIER TRADICIONAL KG;KG;
VINAGRETE RAIZEIRO KG;KG;
QUEIJO COALHO DE BUFALA KG;KG;
PIPICAT GRAN SANIT CLASSIC 4KG KELCO;UN;
PIPICAT GRAN SANIT CAMPESTRE 4KG KELCO;UN;
PIPICAT GRAN SANIT FLORAL 4KG KELCO;UN;
PEDIGREE DRY FILHOTE 1Kg;UN;
PEDIGREE 1KG RACAS PEQ;UN;
PEDIGREE 1KG - CARNE/VEGETAIS;UN;
AMARANTO GRAO KG;KG;
